station id,station name,station latitude,station longitude,daily bike occupation ratio,parking time,DBOR_Norm,PT_Norm,Station_type
72,W 52 St & 11 Ave,40.767272,-73.99392900000001,0.311353899211601,1263.5,-0.4310200083308579,-1.049289204879392,Balanced
79,Franklin St & W Broadway,40.719116,-74.00666700000001,0.3081892532602517,3613.0,-0.4499504231990452,-0.15795819629663863,Balanced
82,St James Pl & Pearl St,40.711174,-74.000165,0.3286829488748745,4086.0000000000005,-0.3273603558957032,-0.053586218896871735,Balanced
83,Atlantic Ave & Fort Greene Pl,40.683826,-73.976323,0.4924961392497509,11965.0,0.6525444114466175,0.8579072521066541,Balanced
116,W 17 St & 8 Ave,40.741776,-74.001497,0.36196279051064517,989.0000000000001,-0.12828557198690618,-1.2570919108312353,Balanced
119,Park Ave & St Edwards St,40.696089,-73.978034,0.5469403836088482,45125.0,0.9782213272049952,1.984062307530124,Balanced
120,Lexington Ave & Classon Ave,40.686768,-73.959282,0.46660831421583915,19124.0,0.4976875094547706,1.2557524152902615,Balanced
127,Barrow St & Hudson St,40.731724,-74.006744,0.5809272254512039,1077.0,1.1815252752693723,-1.1847774765632073,Balanced
128,MacDougal St & Prince St,40.727103,-74.002971,0.49248856246728373,1389.0,0.6524990883243237,-0.9689509292553387,Balanced
137,E 56 St & Madison Ave,40.761628,-73.972924,0.2352073524007997,8074.000000000001,-0.8865166876019497,0.5242164313824538,Balanced
143,Clinton St & Joralemon St,40.692395,-73.993379,0.5386820941798365,7058.0,0.9288215373403178,0.41012289092634185,Balanced
144,Nassau St & Navy St,40.698399,-73.980689,0.6229980264678908,6450.0,1.433186197004795,0.3337013384385323,Balanced
146,Hudson St & Reade St,40.71625,-74.009106,0.26830137394011666,2477.0,-0.6885534503150476,-0.47820557956541143,Balanced
147,Greenwich St & Warren St,40.715422,-74.01122,0.4552302457180599,1929.5000000000002,0.429625691364258,-0.6901148984495492,Balanced
150,E 2 St & Avenue C,40.720874,-73.980858,0.5412319763745163,3804.5000000000005,0.9440745320046059,-0.11414372968784339,Balanced
151,Cleveland Pl & Spring St,40.722103999999995,-73.997249,0.3419778494274662,1062.0,-0.24783234961602893,-1.196676118095584,Balanced
152,Warren St & Church St,40.71474,-74.009106,0.33504354955951954,3453.0,-0.28931224194479865,-0.19638465645266187,Balanced
153,E 40 St & 5 Ave,40.752062,-73.98163199999999,0.18926474411847513,1294.0,-1.1613381520821089,-1.0290536753247912,HighDemand&LowSupply
157,Henry St & Atlantic Ave,40.690893,-73.996123,0.6398995384154295,9019.0,1.5342883859969358,0.6181165987879365,Balanced
160,E 35 St & 3 Ave,40.746524,-73.977885,0.07258937483204844,1139.0,-1.8592718797236767,-1.137293718983019,HighDemand&LowSupply
161,LaGuardia Pl & W 3 St,40.72917,-73.998102,0.4575211531103274,2114.0,0.4433295394492959,-0.6126418971559534,Balanced
164,E 47 St & 2 Ave,40.753231,-73.970325,0.23924125583963643,2216.0,-0.8623865110168477,-0.5726656139015068,Balanced
167,E 39 St & 3 Ave,40.748901000000004,-73.976049,0.16306379798227863,822.0,-1.3180680953118569,-1.4139992908367462,HighDemand&LowSupply
168,W 18 St & 6 Ave,40.739713,-73.994564,0.3695476898974362,1264.5,-0.08291389555523669,-1.0486180345640874,Balanced
173,Broadway & W 49 St,40.760683,-73.984527,0.18940656323033986,1401.0,-1.1604898124368184,-0.9616531704106976,Balanced
174,E 25 St & 1 Ave,40.738177,-73.977387,0.37026836342340136,1005.0000000000001,-0.07860293975140557,-1.2434770271014897,Balanced
195,Liberty St & Broadway,40.709056,-74.010434,0.18183148820834966,1434.0,-1.2058027210618028,-0.9419021162569631,Balanced
212,W 16 St & The High Line,40.743349,-74.00681800000001,0.3891808852827344,1708.0,0.034528794573625905,-0.793561962713127,Balanced
216,Columbia Heights & Cranberry St,40.700379,-73.99548100000001,0.3302543118641973,5205.0,-0.31796070937799,0.15176185332535944,Balanced
217,Old Fulton St,40.702771999999996,-73.993836,0.5218516405230708,4140.0,0.8281444078792698,-0.04244786326247088,Balanced
223,W 13 St & 7 Ave,40.737815000000005,-73.99994699999999,0.3822410982943972,1784.0,-0.006983920847212541,-0.7566286953749226,Balanced
224,Spruce St & Nassau St,40.711464,-74.005524,0.27464818937008595,2587.0,-0.6505877975917457,-0.44134373227810375,Balanced
225,W 14 St & The High Line,40.741951,-74.00803,0.49737651190312454,2988.0,0.6817380338802196,-0.3190906159606316,Balanced
228,E 48 St & 3 Ave,40.754601,-73.971879,0.2552610721869279,5560.0,-0.7665584865779386,0.20773524348545677,Balanced
229,Great Jones St,40.727434,-73.99379,0.43807221364369514,1108.0,0.32698903927655715,-1.1607034252553838,Balanced
232,Cadman Plaza E & Tillary St,40.695977,-73.990149,0.4826634111461004,3344.5,0.5937265767979025,-0.2234695539243723,Balanced
233,Cadman Plaza W & Pierrepont St,40.694757,-73.990527,0.22161134198017676,5481.0,-0.9678458858033637,0.19559476286357613,Balanced
236,St Marks Pl & 2 Ave,40.728419,-73.98714,0.6025065809338277,1737.0,1.3106095893298397,-0.7792786541788321,Balanced
237,E 11 St & 2 Ave,40.730472999999996,-73.986724,0.532835428286053,1621.0,0.8938477005615743,-0.8379140584448338,Balanced
238,Bank St & Washington St,40.736197,-74.00859200000001,0.6221870587112901,2996.0,1.4283351152998638,-0.31682227441057853,Balanced
239,Willoughby St & Fleet St,40.691966,-73.981302,0.3475729458252555,11767.0,-0.21436336203702586,0.8437509209043084,Balanced
