station id,station name,station latitude,station longitude
349,Rivington St & Ridge St,40.718502,-73.983299
350,Clinton St & Grand St,40.715595,-73.98703
351,Front St & Maiden Ln,40.70531,-74.006126
352,W 56 St & 6 Ave,40.763406,-73.977225
353,S Portland Ave & Hanson Pl,40.685396,-73.974315
354,Emerson Pl & Myrtle Ave,40.693631,-73.962236
355,Bayard St & Baxter St,40.716021,-73.999744
356,Bialystoker Pl & Delancey St,40.716226,-73.982612
357,E 11 St & Broadway,40.732618,-73.99158
358,Christopher St & Greenwich St,40.732916,-74.007114
359,E 47 St & Park Ave,40.755103,-73.974987
360,William St & Pine St,40.707179,-74.008873
361,Allen St & Hester St,40.716059,-73.991908
362,Broadway & W 37 St,40.751726,-73.987535
363,West Thames St,40.708347,-74.017134
364,Lafayette Ave & Classon Ave,40.689004,-73.960239
365,Fulton St & Grand Ave,40.682232,-73.961458
366,Clinton Ave & Myrtle Ave,40.693261,-73.968896
367,E 53 St & Lexington Ave,40.758281,-73.970694
368,Carmine St & 6 Ave,40.730386,-74.00215
369,Washington Pl & 6 Ave,40.732241,-74.000264
372,Franklin Ave & Myrtle Ave,40.694528,-73.958089
373,Willoughby Ave & Walworth St,40.693317,-73.95382
375,Mercer St & Bleecker St,40.726795,-73.996951
376,John St & William St,40.708621,-74.007222
377,6 Ave & Canal St,40.722438,-74.005664
379,W 31 St & 7 Ave,40.749156,-73.9916
380,W 4 St & 7 Ave S,40.734011,-74.002939
382,University Pl & E 14 St,40.734927,-73.992005
383,Greenwich Ave & Charles St,40.735238,-74.000271
384,Fulton St & Washington Ave,40.683048,-73.964915
385,E 55 St & 2 Ave,40.757973,-73.966033
386,Centre St & Worth St,40.714948,-74.002345
387,Centre St & Chambers St,40.712733,-74.004607
388,W 26 St & 10 Ave,40.749718,-74.00295
389,Broadway & Berry St,40.710446,-73.965251
390,Duffield St & Willoughby St,40.692216,-73.984284
391,Clark St & Henry St,40.697601,-73.993446
392,Jay St & Tech Pl,40.695065,-73.987167
393,E 5 St & Avenue C,40.722992,-73.979955
394,E 9 St & Avenue C,40.725213,-73.977688
395,Bond St & Schermerhorn St,40.68807,-73.984106
396,Lefferts Pl & Franklin Ave,40.680342,-73.955769
397,Fulton St & Clermont Ave,40.684157,-73.969223
398,Atlantic Ave & Furman St,40.691652,-73.999979
399,Lafayette Ave & St James Pl,40.688515,-73.964763
400,Pitt St & Stanton St,40.719261,-73.98178
401,Allen St & Rivington St,40.720196,-73.989978
402,Broadway & E 22 St,40.740343,-73.989551
405,Washington St & Gansevoort St,40.739323,-74.008119
406,Hicks St & Montague St,40.695128,-73.995951
407,Henry St & Poplar St,40.700469,-73.991454
